sentence,details
"To know sorrow is not terrifying. What is terrifying is to know you cannot go back to the happiness you could have.","Matsumoto Rangiku from Bleach"
"If you do not like your destiny do not accept it. Instead have the courage to change it the way you want it to be.","Naruto Uzumaki from Naruto"
"I will leave tomorrow's problems to tomorrow's me.","Saitama from One Punch Man"
"Simplicity is the easiest path to true beauty.","Seishuu Handa from Barakamon"
"A dropout will beat a genius through hard work.","Rock Lee from Naruto"
"Mistakes are not shackles that halt one from stepping forward. Rather they are that which sustain and grow one's heart.","Mavis Vermillion from Fairy Tail"
"It is more important to master the cards you are holding than to complain about the ones your opponent was dealt.","Grimsley from Pokemon"
"Not giving up on yourself is what is truly important. That way you do not end up pathetic.","Reiko Mikami from Another"
"The past is the past. We cannot indulge ourselves in memories and destroy the present.","Murata Ken from Kyou Kara Maou"
"Knowing what it feels to be in pain is exactly why we try to be kind to others.","Jiraiya from Naruto"
"I too will obtain everything that I desire. Not because someone asked me to do it, but because I know in my heart that I have something worth fighting for.","Julis Alexia Van Riessfeld from Asterisk War"
"Hurt me with the truth. But never comfort me with a lie.","Erza Scarlet from Fairy Tail"
"Fake people have an image to maintain. Real people just don't care.","Hachiman Hikigaya from Yahari Ore No Seishun Love Come Wa Machigatteiru"
"Reject common sense to make the impossible possible.","Simon from Tengen Toppa Gurren Lagann"
"If you do not take risks, you cannot create a future.","Monkey D Luffy from One Piece"
"It is just pathetic to give up on something before you even give it a shot.","Reiko Mikami from Another"
"There is no shame in falling down. True shame is to not stand up again.","Shintaro Midorima from Kurokos Basketball"
"If you cannot do something then do not. Focus on what you can.","Shiroe from Log Horizon"
"You cannot sit around envying other people's worlds. You have to go out and change your own.","Shinichi Chiaki from Nodame Cantabile"
"If your life can change once, your life can change again.","Sanae Furukawa from Clannad"
"Being weak is nothing to be ashamed of. Staying weak is.","Fuegoleon Vermillion from Black Clover"
"Why should I apologize for being a monster? Has anyone ever apologized for turning me into one?","Juuzou Suzuya from Tokyo Ghoul"
"Tears are how our heart speaks when your lips cannot describe how much we have been hurt.","Jellal Fernandes from Fairy Tail"
"The world's not perfect, but it's there for us, trying the best it can. That's what makes it so damn beautiful.","Roy Mustang from Fullmetal Alchemist"
"It does not do any good to pretend you cannot see what is going on.","Yuuya Mochizuki from Another"
"To act is not necessarily compassion. True compassion sometimes comes from inaction.","Hinata Miyake from A Place Further Than the Universe"
"No matter how many people you may lose, never give up. No matter how devastating the blows may be, never give up.","Tanjiro Kamado from Demon Slayer"
"I can do it. I know I can do it. I am the guy who gets it done.","Tanjiro Kamado from Demon Slayer"
"Set your heart ablaze. Go beyond your limits. Make it happen.","Kyojuro Rengoku from Demon Slayer"
"If you can only do one thing, hone it to perfection.","Zenitsu Agatsuma from Demon Slayer"
"The only one who can beat me is me.","Inosuke Hashibira from Demon Slayer"
"Love is the strongest sword of all!","Mitsuri Kanroji from Demon Slayer"
"Do not ever give up. If you do, that is the end.","Giyu Tomioka from Demon Slayer"
"Making a world where kids do not need to cry. That was the whole reason I became a spy.","Loid Forger from Spy x Family"
"Hopes of marriage? The joys of an ordinary life? Those joined my I.D. papers in the rubbish bin on the day I became a spy.","Loid Forger from Spy x Family"
"Spies do not believe in anyone other than themselves.","Loid Forger from Spy x Family"
"Waku waku!","Anya Forger from Spy x Family"
"Papa is the world's biggest liar, but he is a cool liar!","Anya Forger from Spy x Family"
"Anya wants peanuts!","Anya Forger from Spy x Family"
"I am not ugly, I am totes adorbs!","Anya Forger from Spy x Family"
"I am sorry but I am going to have to take your life now.","Yor Forger from Spy x Family"
"To live is to be known and remembered by others.","Himmel from Frieren"
"Why did not I try to get to know him better?","Frieren from Frieren"
"We only traveled together for a mere ten years.","Frieren from Frieren"
"It is what Himmel the Hero would have done.","Heiter from Frieren"
"In the world of magic you cannot materialize that which you cannot visualize.","Flamme from Frieren"
"Being afraid is not a bad thing. It is my fear that has brought me this far.","Eisen from Frieren"
"By exchanging notes you get to know one another. It is a conversation through instruments.","Kaori Miyazono from Your Lie in April"
"Spring will be here soon. Spring, the season I met you, is coming. A spring without you... is coming.","Kousei Arima from Your Lie in April"
"If you cannot move with your hands, then play with your feet!","Kaori Miyazono from Your Lie in April"
"I want to know what I love you means.","Violet Evergarden from Violet Evergarden"
